"domain_name","User.Mac","device","domain_type","web_detail","Adult Content","multimedia hosting","Networking/ISP","ad content","microsoft/google/bing","moview review/ticket booking","music hosting","eCommerce","online cloud","Social networking","Travel and Resturants","News/magzines","total"
".biz","18:dc:56:f0:a9:77"," Micromax A310","business","Adult Content",38,180,24,124,13,0,0,0,0,0,0,0,379
".biz","00:27:06:17:70:83","Sansui-SA50","business","multimedia hosting",227,3068,775,2085,606,0,180,5,130,3,0,0,7079
".biz","e4:92:fb:ed:d3:76"," GT-I8552","business","Adult Content",43,87,186,58,35,0,6,0,183,0,0,0,598
".biz","00:27:06:17:70:83",NA,"business","multimedia hosting",227,3068,775,2085,606,0,180,5,130,3,0,0,7079
".com","00:27:06:17:70:83"," Sansui_SA50","Commercial","multimedia hosting",227,3068,775,2085,606,0,180,5,130,3,0,0,7079
".com","00:27:06:17:70:83"," Sansui SA50","Commercial","multimedia hosting",227,3068,775,2085,606,0,180,5,130,3,0,0,7079
".com","00:27:06:17:70:83",NA,"Commercial","multimedia hosting",227,3068,775,2085,606,0,180,5,130,3,0,0,7079
".com","00:27:06:17:70:83","Sansui-SA50","Commercial","ad content",227,3068,775,2085,606,0,180,5,130,3,0,0,7079
".com","00:27:06:17:70:83"," Sansui SA50","Commercial","ad content",227,3068,775,2085,606,0,180,5,130,3,0,0,7079
".com","d8:3c:69:be:6d:c0"," Micromax A066","Commercial","Networking/ISP",0,498,519,6,248,0,0,8,0,1,0,7,1287
".com","00:ba:52:ec:bd:80","U;","Commercial","Networking/ISP",0,0,19,0,0,0,0,0,0,0,0,0,19
".com","d8:3c:69:be:6d:c0"," Micromax A066","Commercial","multimedia hosting",0,498,519,6,248,0,0,8,0,1,0,7,1287
".com","00:27:06:17:70:83",NA,"Commercial","ad content",227,3068,775,2085,606,0,180,5,130,3,0,0,7079
".com","00:ba:52:ec:bd:80",NA,"Commercial","Networking/ISP",0,0,19,0,0,0,0,0,0,0,0,0,19
".com","d8:3c:69:73:c1:c8"," Micromax A106","Commercial","ad content",0,4,66,36,101,0,143,0,3,0,0,0,353
".com","e4:92:fb:ed:d3:76"," GT-I8552","Commercial","ad content",43,87,186,58,35,0,6,0,183,0,0,0,598
".com","00:ee:bd:0a:b9:a0",NA,"Commercial","ad content",0,126,500,292,92,0,351,5,0,2,0,0,1368
".com","18:dc:56:f0:a9:77"," Micromax A310","Commercial","ad content",38,180,24,124,13,0,0,0,0,0,0,0,379
".com","00:ee:bd:0a:b9:a0"," HTC D","Commercial","microsoft/google/bing",0,126,500,292,92,0,351,5,0,2,0,0,1368
".com","98:ff:d0:f1:23:9a"," Lenovo S660","Commercial","moview review/ticket booking",0,0,12,0,0,1,0,0,0,0,0,0,13
".com","00:27:06:17:70:83"," Sansui SA50","Commercial","microsoft/google/bing",227,3068,775,2085,606,0,180,5,130,3,0,0,7079
